Cohort,MouseID,Day,Object 1 that stayed (s),Object 2 that will move (s),Percent_Time_Investigated,Discrimination_Index,Sex ,Genotype Code,Genotype
3,905,1,40.9,42.1,50.72289157,0.01445783133,Female,'++,MUT
3,906,1,24.4,42.2,63.36336336,0.2672672673,Female,'++,MUT
3,908,1,11.9,9.6,44.65116279,-0.1069767442,Male,'+-,HET
3,909,1,20.1,31.5,61.04651163,0.2209302326,Male,'+-,HET
3,951,1,20,15.4,43.50282486,-0.1299435028,Male,'--,WT
3,952,1,38.5,33.5,46.52777778,-0.06944444444,Male,'++,MUT
3,953,1,20.7,43.7,67.85714286,0.3571428571,Male,'++,MUT
3,954,1,38.9,24.8,38.93249608,-0.2213500785,Female,'+-,HET
3,969,1,27.6,31.4,53.22033898,0.06440677966,Male,'++,MUT
3,972,1,20,22.4,52.83018868,0.05660377358,Female,'--,WT
3,973,1,19.5,16.4,45.68245125,-0.08635097493,Female,'++,MUT
3,974,1,32.6,47.7,59.40224159,0.1880448319,Female,'++,MUT
3,975,1,23.7,31.6,57.14285714,0.1428571429,Female,'+-,HET
3,113,2,18.1,35.8,66.41929499,0.3283858998,Female,'++,MUT
3,901,2,19.3,20.1,51.01522843,0.02030456853,Male,'++,MUT
3,902,2,8,24.1,75.07788162,0.5015576324,Male,'--,WT
3,903,2,25.6,22.3,46.55532359,-0.06889352818,Male,'+-,HET
3,904,2,19.5,8.3,29.85611511,-0.4028776978,Female,'--,WT
3,905,2,26.6,12.8,32.48730964,-0.3502538071,Female,'++,MUT
3,906,2,32.8,23.7,41.94690265,-0.1610619469,Female,'++,MUT
3,908,2,5.4,20.8,79.38931298,0.5877862595,Male,'--,WT
3,909,2,15.1,24.6,61.96473552,0.2392947103,Male,'+-,HET
3,951,2,4.9,13.3,73.07692308,0.4615384615,Male,'+-,HET
3,952,2,11.8,25.2,68.10810811,0.3621621622,Male,'--,WT
3,953,2,23,17.7,43.48894349,-0.1302211302,Male,'++,MUT
3,954,2,31.4,15.6,33.19148936,-0.3361702128,Male,'++,MUT
3,969,2,13.2,29.6,69.1588785,0.3831775701,Female,'+-,HET
3,972,2,17.3,38,68.71609403,0.3743218807,Male,'++,MUT
3,973,2,15.8,24.4,60.69651741,0.2139303483,Female,'--,WT
3,974,2,11.6,20.2,63.52201258,0.2704402516,Female,'++,MUT
3,975,2,26,18.1,41.0430839,-0.179138322,Female,'++,MUT
