SampleID	Line	MouseID	Genotype	Sex
MPTP_Baseline_508_S6_L001_R1_001	MPTP	508	WT	Male
MPTP_Baseline_509_S11_L001_R1_001	MPTP	509	HET	Male
MPTP_Baseline_510_S20_L001_R1_001	MPTP	510	HET	Male
MPTP_Baseline_511_S16_L001_R1_001	MPTP	511	MUT	Male
MPTP_Baseline_513_S13_L001_R1_001	MPTP	513	MUT	Male
MPTP_Baseline_514_S8_L001_R1_001	MPTP	514	WT	Male
MPTP_Baseline_515_S5_L001_R1_001	MPTP	515	MUT	Male
MPTP_Baseline_531_S14_L001_R1_001	MPTP	531	MUT	Female
MPTP_Baseline_550_S63_L001_R1_001	MPTP	550	WT	Male
MPTP_Baseline_583_S7_L001_R1_001	MPTP	583	MUT	Male
MPTP_Baseline_584_S113_L001_R1_001	MPTP	584	WT	Male
MPTP_Baseline_585_S62_L001_R1_001	MPTP	585	MUT	Male
MPTP_Baseline_586_S23_L001_R1_001	MPTP	586	MUT	Male
MPTP_Baseline_587_S27_L001_R1_001	MPTP	587	MUT	Male
MPTP_Baseline_590_S25_L001_R1_001	MPTP	590	MUT	Male
MPTP_Baseline_593_S37_L001_R1_001	MPTP	593	WT	Female
MPTP_Baseline_595_S19_L001_R1_001	MPTP	595	MUT	Female
MPTP_Baseline_596_S9_L001_R1_001	MPTP	596	HET	Male
MPTP_Baseline_597_S69_L001_R1_001	MPTP	597	HET	Male
MPTP_Baseline_599_S21_L001_R1_001	MPTP	599	WT	Female
MPTP_Baseline_606_S32_L001_R1_001	MPTP	606	WT	Female
MPTP_Baseline_608_S28_L001_R1_001	MPTP	608	WT	Female
MPTP_Baseline_609_S111_L001_R1_001	MPTP	609	MUT	Female
MPTP_Baseline_611_S10_L001_R1_001	MPTP	611	MUT	Male
MPTP_Baseline_612_S26_L001_R1_001	MPTP	612	HET	Male
MPTP_Baseline_613_S68_L001_R1_001	MPTP	613	HET	Male
PFF_Baseline_11_S57_L001_R1_001	PFF	11	HET	Male
PFF_Baseline_12_S48_L001_R1_001	PFF	12	WT	Male
PFF_Baseline_13_S53_L001_R1_001	PFF	13	WT	Male
PFF_Baseline_14_S66_L001_R1_001	PFF	14	WT	Male
PFF_Baseline_15_duplicate_S60_L001_R1_001	PFF	15	MUT	Male
PFF_Baseline_15_S123_L001_R1_001	PFF	15	MUT	Male
PFF_Baseline_16_S50_L001_R1_001	PFF	16	HET	Male
PFF_Baseline_17_S58_L001_R1_001	PFF	17	WT	Female
PFF_Baseline_18_S115_L001_R1_001	PFF	18	HET	Female
PFF_Baseline_19_S73_L001_R1_001	PFF	19	WT	Female
PFF_Baseline_1921_S54_L001_R1_001	PFF	1921	MUT	Female
PFF_Baseline_1937_S51_L001_R1_001	PFF	1937	WT	Male
PFF_Baseline_1942_S40_L001_R1_001	PFF	1942	HET	Female
PFF_Baseline_1943_S55_L001_R1_001	PFF	1943	HET	Male
PFF_Baseline_1944_S114_L001_R1_001	PFF	1944	MUT	Male
PFF_Baseline_1946_S42_L001_R1_001	PFF	1946	MUT	Female
PFF_Baseline_21_S52_L001_R1_001	PFF	21	MUT	Male
PFF_Baseline_25_S44_L001_R1_001	PFF	25	WT	Female
PFF_Baseline_26_S46_L001_R1_001	PFF	26	WT	Female
PFF_Baseline_27_S72_L001_R1_001	PFF	27	WT	Female
PFF_Baseline_28_S59_L001_R1_001	PFF	28	HET	Male
PFF_Baseline_30_S45_L001_R1_001	PFF	30	MUT	Male
PFF_Baseline_32_S49_L001_R1_001	PFF	32	HET	Female
PFF_Baseline_35_S122_L001_R1_001	PFF	35	MUT	Female
PFF_Baseline_36_S41_L001_R1_001	PFF	36	HET	Female
PFF_Baseline_37_S47_L001_R1_001	PFF	37	MUT	Female
Q22_WT_107_S28_L001_R1_001	Q22	107	MUT	Female
Q22_WT_108_S21_L001_R1_001	Q22	108	HET	Male
Q22_WT_109_S23_L001_R1_001	Q22	109	WT	Female
Q22_WT_37_S101_L001_R1_001	Q22	37	MUT	Female
Q22_WT_405_S124_L001_R1_001	Q22	405	MUT	Male
Q22_WT_408_S13_L001_R1_001	Q22	408	WT	Female
Q22_WT_411_S125_L001_R1_001	Q22	411	WT	Male
Q22_WT_517_S27_L001_R1_001	Q22	517	MUT	Female
Q22_WT_518_S22_L001_R1_001	Q22	518	MUT	Female
Q22_WT_562_S26_L001_R1_001	Q22	562	MUT	Male
Q22_WT_564_S19_L001_R1_001	Q22	564	MUT	Male
Q22_WT_567_S12_L001_R1_001	Q22	567	HET	Female
Q22_WT_568_S104_L001_R1_001	Q22	568	MUT	Female
Q22_WT_569_S16_L001_R1_001	Q22	569	WT	Female
Q22_WT_570_S17_L001_R1_001	Q22	570	WT	Male
Q22_WT_571_S20_L001_R1_001	Q22	571	HET	Male
Q22_WT_573_S18_L001_R1_001	Q22	573	HET	Male
Q22_WT_675_S98_L001_R1_001	Q22	675	WT	Male
Q22_WT_678_S105_L001_R1_001	Q22	678	WT	Male
Q22_WT_681_S87_L001_R1_001	Q22	681	WT	Male
Q22_WT_685_S86_L001_R1_001	Q22	685	MUT	Male
Q22_WT_686_S103_L001_R1_001	Q22	686	MUT	Male
Q22_WT_688_S99_L001_R1_001	Q22	688	MUT	Female
Q22_WT_704_S102_L001_R1_001	Q22	704	WT	Female
Q22_WT_706_S30_L001_R1_001	Q22	706	HET	Female
Q22_WT_708_S85_L001_R1_001	Q22	708	WT	Male
Q22_WT_729_S95_L001_R1_001	Q22	729	WT	Female
Q22_WT_731_S94_L001_R1_001	Q22	731	HET	Male
Q22_WT_732_S92_L001_R1_001	Q22	732	WT	Male
Q22_WT_733_S91_L001_R1_001	Q22	733	MUT	Male
Q22_WT_736_S97_L001_R1_001	Q22	736	HET	Female
Q22_WT_739_S29_L001_R1_001	Q22	739	MUT	Male
Q22_WT_740_S88_L001_R1_001	Q22	740	MUT	Male
Q22_WT_741_S100_L001_R1_001	Q22	741	WT	Male
Q22_WT_743_S93_L001_R1_001	Q22	743	MUT	Male
Q22_WT_744_S106_L001_R1_001	Q22	744	MUT	Female
Q22_WT_750_S89_L001_R1_001	Q22	750	WT	Male
Q22_WT_751_S96_L001_R1_001	Q22	751	HET	Female
Q22_WT_752_S90_L001_R1_001	Q22	752	MUT	Female
Q22_WT_782_S25_L001_R1_001	Q22	782	WT	Female
Q22_WT_783_S31_L001_R1_001	Q22	783	HET	Female
Q22_WT_785_S24_L001_R1_001	Q22	785	HET	Male
Q22_WT_786_S14_L001_R1_001	Q22	786	WT	Female
Q22_WT_787_S15_L001_R1_001	Q22	787	MUT	Male
Q22_WT_823_S107_L001_R1_001	Q22	823	HET	Female
