	observed_otus
SLCLTFP127	460
SLCLTFP128	345
SLCLTFP129	344
SLCLTFP130	120
SLCLTFP131	119
SLCLTFP132	387
SLCLTFP133	362
SLCLTFP134	358
SLCLTFP135	423
SLCLTFP136	186
SLCLTFP137	221
SLCLTFP138	187
SLCLTFP139	420
SLCLTFP140	425
SLCLTFP141	413
SLCLTFP142	168
SLCLTFP143	198
SLCLTFP144	230
SLCLTFP145	388
SLCLTFP146	401
SLCLTFP147	401
SLCLTFP148	118
SLCLTFP149	96
SLCLTFP150	359
SLCLTFP151	225
SLCLTFP152	428
SLCLTFP153	363
SLCLTFP154	100
SLCLTFP155	482
SLCLTFP156	349
SLCLTFP157	230
SLCLTFP158	273
SLCLTFP159	348
SLCLTFP160	130
SLCLTFP161	193
SLCLTFP162	155
SLCLTFP163	385
SLCLTFP164	217
SLCLTFP165	405
SLCLTFP166	337
SLCLTFP167	379
SLCLTFP168	124
SLCLTFP169	376
SLCLTFP170	438
SLCLTFP171	376
SLCLTFP172	191
SLCLTFP173	189
SLCLTFP174	176
SLCLTFP175	383
SLCLTFP176	431
SLCLTFP177	435
SLCLTFP178	197
SLCLTFP179	292
SLCLTFP180	193
SLCLTFP181	376
SLCLTFP182	410
SLCLTFP183	402
SLCLTFP184	230
SLCLTFP185	261
SLCLTFP186	153
