MouseID,Day,T1_S,T1_RPM,T2_S,T2_RPM,T3_S,T3_RPM,Average_Latency_S,Standard_Deviation,Cohort,Genotype,Sex
905,1,71.6,17.1,79.5,19.3,69.4,17.1,73.5,5.31130869,Three,MUT,Female
905,2,29.1,9.4,86.8,20.4,75.7,18.2,63.86666667,30.61606332,Three,MUT,Female
905,3,116,25.9,104,23.7,100,22.6,106.6666667,8.326663998,Three,MUT,Female
906,1,52.1,13.8,62.1,16,63.3,16,59.16666667,6.149254697,Three,MUT,Female
906,2,85.5,20.4,92.9,21.5,66.2,17.1,81.53333333,13.78489512,Three,MUT,Female
906,3,97.3,22.6,123,27.8,115,25.9,111.7666667,13.15155251,Three,MUT,Female
908,1,31.4,10.5,8.8,6.1,82.8,19.3,41,37.92255266,Three,HET,Male
908,2,70.8,17.1,93.4,21.5,110,24.8,91.4,19.67638178,Three,HET,Male
908,3,60.5,16,133,29.2,126,28.1,106.5,39.9906239,Three,HET,Male
909,1,51.4,13.8,43.2,12.7,73.2,18.2,55.93333333,15.50526792,Three,HET,Male
909,2,57.9,14.9,46.2,12.7,66.8,17.1,56.96666667,10.33166653,Three,HET,Male
909,3,63.5,16,85.7,20.4,81,19.3,76.73333333,11.69886034,Three,HET,Male
877,1,30.6,10.5,61.8,16,91.3,21.5,61.23333333,30.35396734,Two,WT,Female
877,2,85.7,20.4,103,23.7,38.4,11.6,75.7,33.44084329,Two,WT,Female
877,3,33.8,10.5,80.4,19.3,78.9,19.3,64.36666667,26.48213234,Two,WT,Female
797,1,71.2,17.1,64,16,54.5,14.9,63.23333333,8.376355612,Two,HET,Female
797,2,115,25.9,147,31.4,109,24.8,123.6666667,20.42873793,Two,HET,Female
797,3,90.5,21.5,116,25.9,132,29.2,112.8333333,20.93044035,Two,HET,Female
798,1,27.9,9.4,34.5,10.5,109,24.8,57.13333333,45.0389091,Two,HET,Female
798,2,123,27,137,29.2,128,28.1,129.3333333,7.094598885,Two,HET,Female
798,3,108,24.8,137,29.2,138,30.3,127.6666667,17.03917056,Two,HET,Female
799,1,45.3,12.7,47.5,12.7,79.9,19.3,57.56666667,19.37248908,Two,HET,Female
799,2,74.9,18.2,98.7,22.6,94.4,21.5,89.33333333,12.68319098,Two,HET,Female
799,3,103,23.7,103,23.7,122,27,109.3333333,10.96965511,Two,HET,Female
803,1,42.5,12.7,43.6,12.7,67.2,17.1,51.1,13.95385251,Two,WT,Male
803,2,63.5,16,81.1,20.4,82.7,19.3,75.76666667,10.65332499,Two,WT,Male
803,3,79.8,19.3,57.3,14.9,93.3,21.5,76.8,18.18653348,Two,WT,Male
795,1,7.8,6.1,71.7,17.1,65.4,16,48.3,35.21519558,Two,WT,Female
795,2,138,30.3,102,23.7,99.3,22.6,113.1,21.6062491,Two,WT,Female
795,3,79.5,19.3,162,34.7,145,31.4,128.8333333,43.56125955,Two,WT,Female
812,1,51.7,13.8,23.1,8.3,36.4,11.6,37.06666667,14.31165027,Two,HET,Female
812,2,35.1,10.5,55,14.9,57.7,14.9,49.26666667,12.34274416,Two,HET,Female
812,3,85.3,20.4,94.9,21.5,92,21.5,90.73333333,4.923751957,Two,HET,Female
878,1,57.4,14.9,40.7,11.6,85.2,20.4,61.1,22.47954626,Two,MUT,Female
878,2,112,24.8,136,29.2,141,30.3,129.6666667,15.50268794,Two,MUT,Female
878,3,135,29.2,136,29.2,122,27,131,7.810249676,Two,MUT,Female
869,1,49.7,13.8,72.8,18.2,93,21.5,71.83333333,21.66617948,Two,HET,Female
869,2,57,14.9,91.6,21.5,88.3,20.4,78.96666667,19.09511281,Two,HET,Female
869,3,69.4,17.1,92.1,21.5,92,21.5,84.5,13.07707918,Two,HET,Female
851,1,28.2,9.4,68.5,17.1,58.7,14.9,51.8,21.01737377,Two,HET,Male
851,2,71.1,17.1,46.2,12.7,100,22.6,72.43333333,26.92477174,Two,HET,Male
851,3,80,19.3,61.5,16,68.6,17.1,70.03333333,9.332916657,Two,HET,Male
880,1,72.5,18.2,100,22.4,73,18.2,81.83333333,15.73478101,Two,WT,Male
880,2,89.6,20.4,83.4,19.3,100,22.6,91,8.38808679,Two,WT,Male
880,3,83,19.3,83.8,19.3,130,28.1,98.93333333,26.90749586,Two,WT,Male
879,1,74.9,18.2,68.9,17.1,82.8,19.3,75.53333333,6.971609092,Two,WT,Male
879,2,51.7,13.8,91.1,21.5,90.9,21.5,77.9,22.69008594,Two,WT,Male
879,3,51.8,13.8,93.3,21.5,96.8,22.6,80.63333333,25.03164664,Two,WT,Male
827,1,81.4,19.3,92.3,21.5,92.2,21.5,88.63333333,6.264449963,Two,HET,Female
827,2,88.9,20.4,99.9,22.6,148,31.4,112.2666667,31.43092957,Two,HET,Female
827,3,83.7,19.3,153,32.5,169,35.8,135.2333333,45.34052639,Two,HET,Female
809,1,46,12.7,46.2,12.7,47.2,12.7,46.46666667,0.6429100507,One,WT,Male
809,2,60,16,73,18.2,74.5,18.2,69.16666667,7.973915809,One,WT,Male
809,3,81.3,19.3,108,24.8,109,24.8,99.43333333,15.7118851,One,WT,Male
756,1,66.1,17.1,70,17.1,27.4,9.4,54.5,23.55015924,One,WT,Male
756,2,47.4,12.7,75.6,18.2,59.9,14.9,60.96666667,14.13022765,One,WT,Male
756,3,53.5,13.8,66.9,17.1,109,24.8,76.46666667,28.96037523,One,WT,Male
777,1,68,17.1,100,22.6,111,24.8,93,22.3383079,One,WT,Male
777,2,99.4,22.6,86.1,20.4,18.6,8.3,68.03333333,43.32393488,One,WT,Male
777,3,114,25.9,116,25.9,109,24.8,113,3.605551275,One,WT,Male
810,1,18,8.3,81.1,19.3,60.1,16,53.06666667,32.13258989,One,HET,Male
810,2,48.6,13.8,24.7,9.4,92.9,21.5,55.4,34.60476846,One,HET,Male
810,3,69.5,17.1,135,29.2,151,32.5,118.5,43.18275119,One,HET,Male
778,1,34.9,10.5,64.9,16,47,12.7,48.93333333,15.09315518,One,HET,Male
778,2,75.5,18.2,58.5,14.9,51.3,13.8,61.76666667,12.42631616,One,HET,Male
778,3,34.7,10.5,79.7,19.3,98.4,22.6,70.93333333,32.74237825,One,HET,Male
808,1,51,13.8,76.1,18.2,124,27,83.7,37.08867752,One,WT,Female
808,2,105,23.7,122,27,96.4,22.6,107.8,13.02766288,One,WT,Female
808,3,123,27,175,36.9,153,32.5,150.3333333,26.1023626,One,WT,Female
754,1,27.7,9.4,56.7,14.9,33.4,10.5,39.26666667,15.36435268,One,WT,Male
754,2,29.9,9.4,16.6,7.2,72.1,18.2,39.53333333,28.97694486,One,WT,Male
754,3,72.3,18.2,91.8,21.5,87.5,20.4,83.86666667,10.24516146,One,WT,Male
779,1,62.2,16,38.4,11.6,73.6,18.2,58.06666667,17.96032665,One,HET,Male
779,2,65.9,16,87.8,20.4,104,23.7,85.9,19.12093094,One,HET,Male
779,3,82.3,19.3,55.4,14.9,138,30.3,91.9,42.12849392,One,HET,Male
780,1,9.7,6.1,30.6,10.5,18.3,8.3,19.53333333,10.5044435,One,HET,Male
780,2,49.2,13.8,81.5,19.3,42.7,12.7,57.8,20.78051972,One,HET,Male
780,3,114,25.9,48.3,13.8,98.9,22.6,87.06666667,34.41138378,One,HET,Male
755,1,26.8,9.4,68,17.1,92.8,21.5,62.53333333,33.33786636,One,HET,Male
755,2,71.4,17.1,99.8,22.6,79.3,19.3,83.5,14.65844467,One,HET,Male
755,3,113,24.8,63.1,16,140,30.3,105.3666667,39.01414273,One,HET,Male
805,1,98.3,22.6,85.3,20.4,68.4,17.1,84,14.99233137,One,MUT,Female
805,2,106,23.7,146,31.4,139,30.3,130.3333333,21.36195996,One,MUT,Female
805,3,110,24.8,184,38,168,35.8,154,38.93584467,One,MUT,Female
