SampleID,Iron,Cobalt,Copper,Zinc,Cadmium,Manganese,Selenium,Batch,MouseID,SampleType,Genotype,Sex
J10 TS-SI,41.166,0.027,3.402,50.467,0.032,3.171,1.617,Three,J10,TS-SI,WT,Female
J10 FP-COL,837.767,1.839,55.099,378.275,0.370,148.788,1.855,Three,J10,FP-COL,WT,Female
J10 FP-SI,595.634,0.645,28.423,462.228,0.407,296.706,1.779,Three,J10,FP-SI,WT,Female
J11 MUC-COL,228.422,n/a,216.715,295.903,0.000,8.761,0.000,Three,J11,MUC-COL,WT,Female
J11 MUC-SI,482.923,0.157,200.308,1045.640,0.239,10.773,4.251,Three,J11,MUC-SI,WT,Female
J11 TS-COL,136.577,0.101,12.217,150.481,0.008,11.396,3.122,Three,J11,TS-COL,WT,Female
J11 TS-SI,144.711,0.066,9.485,157.178,0.038,8.039,5.187,Three,J11,TS-SI,WT,Female
J11 FP-COL,871.156,2.780,50.113,631.358,0.350,183.776,2.412,Three,J11,FP-COL,WT,Female
J11 FP-SI,53.798,0.044,3.694,55.537,0.026,6.178,1.103,Three,J11,FP-SI,WT,Female
J12 MUC-COL,155.636,0.000,174.394,317.262,0.000,10.386,0.000,Three,J12,MUC-COL,WT,Female
J12 MUC-SI,186.673,0.024,64.508,152.289,n/a,6.279,5.557,Three,J12,MUC-SI,WT,Female
J12 TS-COL,190.379,0.109,16.942,205.397,0.008,15.796,4.271,Three,J12,TS-COL,WT,Female
J12 TS-SI,138.080,0.071,9.856,153.957,0.049,8.376,4.861,Three,J12,TS-SI,WT,Female
J12 FP-COL,838.543,2.376,42.475,432.115,0.344,237.478,2.081,Three,J12,FP-COL,WT,Female
J12 FP-SI,218.970,0.126,12.771,147.988,0.194,17.855,3.406,Three,J12,FP-SI,WT,Female
J13 MUC-COL,183.112,0.000,161.105,318.621,n/a,10.644,0.000,Three,J13,MUC-COL,WT,Female
J13 MUC-SI,261.053,n/a,227.374,510.469,n/a,8.813,3.457,Three,J13,MUC-SI,WT,Female
J13 TS-COL,139.490,0.081,11.537,149.220,0.008,12.271,3.249,Three,J13,TS-COL,WT,Female
J13 TS-SI,78.032,0.037,5.245,84.511,0.021,5.071,2.697,Three,J13,TS-SI,WT,Female
J13 FP-COL,938.123,2.419,45.975,417.847,0.357,190.147,2.411,Three,J13,FP-COL,WT,Female
