Animal,Day,Litter,Stage,Trial,NoMove Big : number investigations,NoMove Big : time investigating,NoMove Big : time oriented towards,NoMove Small : number investigations,NoMove Small : time investigating,NoMove Small : time oriented towards,Move Big : number investigations,Move Big : time investigating,Move Big : time oriented towards,Move Small : number investigations,Move Small : time investigating,Move Small : time oriented towards,Total_time_Investigated,Time_Nomove,Time_Move,Discrimination_Ratio,Animal,Q22,SLC,Sex
534,Testing,Five,Testing_time,1,9,4.7,30,16,11.2,32.1,16,7,29.9,18,11,36.9,33.9,15.9,18,0.06194690265,534,KO,MUT,Female
561,Testing,Five,Testing,1,7,6.6,50.6,7,5.3,53.4,40,31.7,52,12,18.6,42.4,62.2,11.9,50.3,0.6173633441,561,KO,WT,Male
535,Testing,Five,Testing,1,9,5.7,35.4,9,4.5,28.7,14,11.2,43.1,4,2.4,37.8,23.8,10.2,13.6,0.1428571429,535,WT,MUT,Female
108,Training,One,Testing_time,1,27,28,59.8,34,22.6,59,56,43.6,119.8,71,48.3,91.2,142.5,50.6,91.9,0.2898245614,108,WT,HET,Male
109,Training,One,Testing_time,1,26,23.1,67.1,30,26.6,85.8,69,62.1,127.2,61,57.4,117,169.2,49.7,119.5,0.4125295508,109,WT,WT,Female
106,Training,One,Testing_time,1,27,21.8,65.7,38,32.1,96.5,77,60.1,136.7,33,27.3,83.2,141.3,53.9,87.4,0.237084218,106,WT,HET,Male
107,Training,One,Testing_time,1,32,29.1,107.3,50,41.4,96,31,20,60.1,46,55.2,86.5,145.7,70.5,75.2,0.03225806452,107,WT,MUT,Female
407,Training,Two,Testing_time,1,71,81.2,143.9,28,27.8,174.1,34,39,144,48,42.8,123.4,190.8,109,81.8,-0.142557652,407,KO,MUT,Female
405,Training,Two,Testing_time,1,75,66.4,136,40,40.9,104.9,53,44.7,117.8,44,35.7,109.8,187.7,107.3,80.4,-0.1433137986,405,WT,MUT,Male
406,Training,Two,Testing_time,1,74,68.3,152.7,43,51.5,126.7,26,26.6,97.5,50,72.1,128.6,218.5,119.8,98.7,-0.09656750572,406,KO,MUT,Male
409,Training,Two,Testing_time,1,64,60.6,151.1,61,57.5,125.2,32,32.7,136.4,38,40,139.7,190.8,118.1,72.7,-0.2379454927,409,KO,HET,Female
404,Training,Three,Testing_time,1,23,23.3,118.5,40,34.4,140.1,95,77,133.4,43,42.2,135.8,176.9,57.7,119.2,0.3476540418,404,WT,HET,Female
411,Training,Three,Testing_time,1,89,109.4,150.2,38,42.1,133.1,41,50.5,117.7,39,32.5,92.4,234.5,151.5,83,-0.2921108742,411,WT,WT,Male
412,Training,Three,Testing_time,1,48,32.5,125.1,70,58.6,111.4,45,51.3,127.3,40,40.7,135.1,183.1,91.1,92,0.004915346805,412,WT,HET,Female
408,Training,Three,Testing_time,1,38,28.4,123.8,73,59.3,146.5,63,55.9,150.1,40,40.1,142.8,183.7,87.7,96,0.04518236255,408,WT,WT,Female
403,Training,Three,Testing_time,1,53,38,87.3,56,32,132.5,71,36.9,116.5,43,27.5,78.2,134.4,70,64.4,-0.04166666667,403,WT,HET,Female
517,Training,Four,Testing_time,1,53,45.2,112,45,42.7,105.8,60,52.9,125,61,59.4,147.3,200.2,87.9,112.3,0.1218781219,517,WT,MUT,Female
518,Training,Four,Testing_time,1,33,21.4,101.2,56,42.8,82.8,76,39.1,144.7,51,44.9,162.8,148.2,64.2,84,0.1336032389,518,WT,MUT,Female
564,Training,Five,Testing_time,1,47,45.4,111.4,53,47.8,103.9,40,29.5,113.2,36,37.3,126.8,160,93.2,66.8,-0.165,564,WT,MUT,Male
567,Training,Five,Testing_time,1,58,41.2,129.6,68,50.6,137.4,36,26.5,115.1,37,38.7,129,157,91.8,65.2,-0.1694267516,567,WT,HET,Female
562,Training,Five,Testing_time,1,101,86,142.1,41,30.7,132.9,21,22.3,128.3,38,39.3,134.7,178.3,116.7,61.6,-0.3090297252,562,WT,MUT,Male
573,Training,Five,Testing_time,1,50,63.8,103.4,20,20.1,101.5,36,41.3,148.6,33,28.4,89.5,153.6,83.9,69.7,-0.09244791667,573,WT,HET,Male
571,Training,Five,Testing_time,1,55,55.1,128.3,48,44.5,95.8,36,32.8,94.4,28,22.4,103.3,154.8,99.6,55.2,-0.2868217054,571,WT,HET,Male
569,Training,Five,Testing_time,1,62,39,116.9,46,30.1,98.9,66,57.7,175.9,49,48.9,143.1,175.7,69.1,106.6,0.2134319863,569,WT,WT,Female
565,Training,Five,Testing_time,1,58,45.2,76.4,63,44.9,90.4,78,56.9,135.2,62,55.5,121.3,202.5,90.1,112.4,0.1101234568,565,KO,HET,Male
563,Training,Five,Testing_time,1,57,56.7,126.5,69,53.7,170.9,50,49.8,154.2,25,19.2,95.3,179.4,110.4,69,-0.2307692308,563,KO,HET,Male
570,Training,Five,Testing_time,1,31,26.2,72.8,37,37.8,112.9,52,53.7,125.7,37,40,107.5,157.7,64,93.7,0.1883322765,570,WT,WT,Male
561,Training,Five,Testing_time,1,50,61.5,157.5,41,55.7,174.1,41,54.5,176.6,33,50.4,152,222.1,117.2,104.9,-0.05538045925,561,KO,WT,Male
535,Training,Five,Testing_time,1,47,59.9,123.4,28,24.6,110.2,32,31.9,138.5,34,32.1,144.9,148.5,84.5,64,-0.138047138,535,WT,MUT,Female
534,Training,Five,Testing_time,1,22,29.2,82,37,43.6,111.3,42,42.4,94.5,51,64.7,112.3,179.9,72.8,107.1,0.1906614786,534,KO,MUT,Female
738,Training,Thirteen,Testing_time,1,738,43,38.1,113.8,51,32.9,112.7,47,30.3,113.4,40,28.5,132.6,94,87,-0.05279034691,738,KO,MUT,Male
740,Training,Thirteen,Testing_time,1,740,31,27.6,167.4,78,102.3,163.4,32,24.6,189.7,11,13.8,167.4,109,43,-0.394265233,740,WT,MUT,Male
745,Training,Thirteen,Testing_time,1,745,50,61.3,96.9,29,18.1,76.8,19,27.7,100.2,30,32,116,79,49,-0.2586206897,745,KO,HET,Male
748,Training,Thirteen,Testing_time,1,748,49,50.4,123.2,31,29.4,91.3,48,38,121.1,36,37.7,127.9,80,84,0.03127443315,748,KO,HET,Female
738,Testing,Thirteen,Testing,1,738,6,2.7,64.6,40,55.6,75.3,0,0,44.7,4,4.3,44.9,46,4,-0.9354120267,738,KO,MUT,Male
740,Testing,Thirteen,Testing,1,740,7,29.7,37.7,3,2.1,26.5,4,6.3,37.1,3,2.4,5.3,10,7,-0.5660377358,740,WT,MUT,Male
745,Testing,Thirteen,Testing,1,745,14,6.5,32.7,12,11.8,25.9,11,10.2,42.7,7,8.7,31.7,26,18,-0.2523659306,745,KO,HET,Male
748,Testing,Thirteen,Testing,1,748,14,7.9,27.9,19,12.8,55.1,3,1.1,38.7,7,6.1,60.5,33,10,-0.3801652893,748,KO,HET,Female
849,Training,Fifteen/Sixteen,Testing_time,1,849,51,37.5,88.9,36,24.1,116.9,19,14.1,165.6,28,18.6,123.6,87,47,-0.3236245955,849,KO,HET,Male
852,Training,Fifteen/Sixteen,Testing_time,1,852,31,20.4,90.5,16,17.7,104,53,67.5,145.9,32,28.7,107,47,85,0.3551401869,852,KO,HET,Male
829,Training,Fifteen/Sixteen,Testing_time,1,829,36,27.2,77.3,32,33.9,91.1,34,33.7,88.5,42,33.1,98.6,68,76,0.08113590264,829,KO,HET,Female
817,Training,Fifteen/Sixteen,Testing_time,1,817,73,54.9,140,25,23.9,127.2,54,46.3,189.2,45,51.6,191.4,98,99,0.005224660397,817,KO,HET,Male
802,Training,Fifteen/Sixteen,Testing_time,1,802,52,35.8,150.6,53,44.1,133.6,81,65.2,172.8,44,52.2,141.5,105,125,0.1413427562,802,KO,HET,Male
818,Training,Fifteen/Sixteen,Testing_time,1,818,32,32,122.5,36,22.2,127.6,64,67.2,139.2,42,31.7,97.9,68,106,0.3881511747,818,KO,HET,Male
814,Training,Fifteen/Sixteen,Testing_time,1,814,41,28,78,26,18,98.8,41,34.9,210.4,35,35.6,127.2,67,76,0.07075471698,814,KO,WT,Male
850,Training,Fifteen/Sixteen,Testing_time,1,850,47,22.4,96.3,29,23.7,82.4,41,28.9,106.1,51,34.6,88.4,76,92,0.1809954751,850,KO,WT,Male
825,Training,Fifteen/Sixteen,Testing_time,1,825,70,72.5,134.2,62,43.2,152.7,22,15.5,186.8,35,23.8,159.3,132,57,-0.4708097928,825,KO,WT,Female
828,Training,Fifteen/Sixteen,Testing_time,1,828,63,50.2,113.1,21,23.3,101.6,47,46.7,131.8,50,52.7,145,84,97,0.08965517241,828,KO,WT,Female
811,Training,Fifteen/Sixteen,Testing_time,1,811,41,32.6,103,35,32.3,101.2,52,38.5,95.4,47,52.8,109.8,76,99,0.2094717668,811,KO,HET,Female
801,Training,Fifteen/Sixteen,Testing_time,1,801,41,47.4,131.5,57,45.7,132.2,71,47.3,140.4,45,41.3,144.7,98,116,0.1243953006,801,KO,MUT,Female
818,Testing,Fifteen/Sixteen,Testing,1,818,28,25.9,42.8,15,11.6,58.9,2,1.7,37.3,11,7.9,42.2,43,13,-0.7109004739,818,KO,HET,Male
849,Testing,Fifteen/Sixteen,Testing,1,849,33,25.2,41.9,15,12.4,56.9,2,1.7,36.5,12,7.9,42.2,48,14,-0.8056872038,849,KO,HET,Male
828,Testing,Fifteen/Sixteen,Testing,1,828,21,12.2,28.8,7,11.5,48.1,19,15.9,36.2,20,23.4,37.7,28,39,0.2917771883,828,KO,WT,Female
825,Testing,Fifteen/Sixteen,Testing,1,825,30,37.6,55.6,14,7.9,55.1,2,2,70.1,8,4.5,43.5,44,10,-0.7816091954,825,KO,WT,Female
814,Testing,Fifteen/Sixteen,Testing,1,814,15,10.1,32.4,7,7.2,36.7,12,13.1,58.9,13,14.7,47.4,22,25,0.06329113924,814,KO,WT,Male
852,Testing,Fifteen/Sixteen,Testing,1,852,34,18.1,39.4,7,7.6,39.3,10,10.4,47.4,8,6.7,50.9,41,18,-0.4518664047,852,KO,HET,Male
817,Testing,Fifteen/Sixteen,Testing,1,817,26,28,48,6,9.3,52.4,14,10.5,60.6,10,11.6,55.7,32,24,-0.1436265709,817,KO,HET,Male
802,Testing,Fifteen/Sixteen,Testing,1,802,38,20.6,66.8,19,12.7,43.1,16,17.1,60.1,8,8,55.3,57,24,-0.5967450271,802,KO,HET,Male
801,Testing,Fifteen/Sixteen,Testing,1,801,22,24.4,45.7,29,19.5,45.2,13,6.7,49.5,7,10.8,63.3,51,20,-0.4897314376,801,KO,MUT,Female
811,Testing,Fifteen/Sixteen,Testing,1,811,13,8.8,37.6,7,6.5,37,15,8.6,24.2,12,12.6,42.6,20,27,0.1643192488,811,KO,HET,Female
850,Testing,Fifteen/Sixteen,Testing,1,850,12,7.7,29.7,11,8.5,22.2,4,5.6,24.8,15,15.5,34.5,23,19,-0.115942029,850,KO,WT,Male
829,Testing,Fifteen/Sixteen,Testing,1,829,18,14.8,30.6,7,7,26,7,7.3,26.4,8,7.6,28.4,25,15,-0.3521126761,829,KO,HET,Female
